"icd9","condition_code","condition"
"042","1","HIV/AIDS"
"07953","1","HIV/AIDS"
"V08","1","HIV/AIDS"
"1700","10","Lymphoma and Other Cancers"
"1701","10","Lymphoma and Other Cancers"
"1702","10","Lymphoma and Other Cancers"
"1703","10","Lymphoma and Other Cancers"
"1704","10","Lymphoma and Other Cancers"
"1705","10","Lymphoma and Other Cancers"
"1706","10","Lymphoma and Other Cancers"
"1707","10","Lymphoma and Other Cancers"
"1708","10","Lymphoma and Other Cancers"
"1709","10","Lymphoma and Other Cancers"
"1710","10","Lymphoma and Other Cancers"
"1712","10","Lymphoma and Other Cancers"
"1713","10","Lymphoma and Other Cancers"
"1714","10","Lymphoma and Other Cancers"
"1715","10","Lymphoma and Other Cancers"
"1716","10","Lymphoma and Other Cancers"
"1717","10","Lymphoma and Other Cancers"
"1718","10","Lymphoma and Other Cancers"
"1719","10","Lymphoma and Other Cancers"
"1760","10","Lymphoma and Other Cancers"
"1761","10","Lymphoma and Other Cancers"
"1762","10","Lymphoma and Other Cancers"
"1763","10","Lymphoma and Other Cancers"
"1764","10","Lymphoma and Other Cancers"
"1765","10","Lymphoma and Other Cancers"
"1768","10","Lymphoma and Other Cancers"
"1769","10","Lymphoma and Other Cancers"
"181","10","Lymphoma and Other Cancers"
"1830","10","Lymphoma and Other Cancers"
"1832","10","Lymphoma and Other Cancers"
"1833","10","Lymphoma and Other Cancers"
"1834","10","Lymphoma and Other Cancers"
"1835","10","Lymphoma and Other Cancers"
"1838","10","Lymphoma and Other Cancers"
"1839","10","Lymphoma and Other Cancers"
"1910","10","Lymphoma and Other Cancers"
"1911","10","Lymphoma and Other Cancers"
"1912","10","Lymphoma and Other Cancers"
"1913","10","Lymphoma and Other Cancers"
"1914","10","Lymphoma and Other Cancers"
"1915","10","Lymphoma and Other Cancers"
"1916","10","Lymphoma and Other Cancers"
"1917","10","Lymphoma and Other Cancers"
"1918","10","Lymphoma and Other Cancers"
"1919","10","Lymphoma and Other Cancers"
"1920","10","Lymphoma and Other Cancers"
"1921","10","Lymphoma and Other Cancers"
"1922","10","Lymphoma and Other Cancers"
"1923","10","Lymphoma and Other Cancers"
"1928","10","Lymphoma and Other Cancers"
"1929","10","Lymphoma and Other Cancers"
"1940","10","Lymphoma and Other Cancers"
"1943","10","Lymphoma and Other Cancers"
"1944","10","Lymphoma and Other Cancers"
"1963","10","Lymphoma and Other Cancers"
"1969","10","Lymphoma and Other Cancers"
"1982","10","Lymphoma and Other Cancers"
"19881","10","Lymphoma and Other Cancers"
"19882","10","Lymphoma and Other Cancers"
"20000","10","Lymphoma and Other Cancers"
"20001","10","Lymphoma and Other Cancers"
"20002","10","Lymphoma and Other Cancers"
"20003","10","Lymphoma and Other Cancers"
"20004","10","Lymphoma and Other Cancers"
"20005","10","Lymphoma and Other Cancers"
"20006","10","Lymphoma and Other Cancers"
"20007","10","Lymphoma and Other Cancers"
"20008","10","Lymphoma and Other Cancers"
"20010","10","Lymphoma and Other Cancers"
"20011","10","Lymphoma and Other Cancers"
"20012","10","Lymphoma and Other Cancers"
"20013","10","Lymphoma and Other Cancers"
"20014","10","Lymphoma and Other Cancers"
"20015","10","Lymphoma and Other Cancers"
"20016","10","Lymphoma and Other Cancers"
"20017","10","Lymphoma and Other Cancers"
"20018","10","Lymphoma and Other Cancers"
"20020","10","Lymphoma and Other Cancers"
"20021","10","Lymphoma and Other Cancers"
"20022","10","Lymphoma and Other Cancers"
"20023","10","Lymphoma and Other Cancers"
"20024","10","Lymphoma and Other Cancers"
"20025","10","Lymphoma and Other Cancers"
"20026","10","Lymphoma and Other Cancers"
"20027","10","Lymphoma and Other Cancers"
"20028","10","Lymphoma and Other Cancers"
"20030","10","Lymphoma and Other Cancers"
"20031","10","Lymphoma and Other Cancers"
"20032","10","Lymphoma and Other Cancers"
"20033","10","Lymphoma and Other Cancers"
"20034","10","Lymphoma and Other Cancers"
"20035","10","Lymphoma and Other Cancers"
"20036","10","Lymphoma and Other Cancers"
"20037","10","Lymphoma and Other Cancers"
"20038","10","Lymphoma and Other Cancers"
"20040","10","Lymphoma and Other Cancers"
"20041","10","Lymphoma and Other Cancers"
"20042","10","Lymphoma and Other Cancers"
"20043","10","Lymphoma and Other Cancers"
"20044","10","Lymphoma and Other Cancers"
"20045","10","Lymphoma and Other Cancers"
"20046","10","Lymphoma and Other Cancers"
"20047","10","Lymphoma and Other Cancers"
"20048","10","Lymphoma and Other Cancers"
"20050","10","Lymphoma and Other Cancers"
"20051","10","Lymphoma and Other Cancers"
"20052","10","Lymphoma and Other Cancers"
"20053","10","Lymphoma and Other Cancers"
"20054","10","Lymphoma and Other Cancers"
"20055","10","Lymphoma and Other Cancers"
"20056","10","Lymphoma and Other Cancers"
"20057","10","Lymphoma and Other Cancers"
"20058","10","Lymphoma and Other Cancers"
"20060","10","Lymphoma and Other Cancers"
"20061","10","Lymphoma and Other Cancers"
"20062","10","Lymphoma and Other Cancers"
"20063","10","Lymphoma and Other Cancers"
"20064","10","Lymphoma and Other Cancers"
"20065","10","Lymphoma and Other Cancers"
"20066","10","Lymphoma and Other Cancers"
"20067","10","Lymphoma and Other Cancers"
"20068","10","Lymphoma and Other Cancers"
"20070","10","Lymphoma and Other Cancers"
"20071","10","Lymphoma and Other Cancers"
"20072","10","Lymphoma and Other Cancers"
"20073","10","Lymphoma and Other Cancers"
"20074","10","Lymphoma and Other Cancers"
"20075","10","Lymphoma and Other Cancers"
"20076","10","Lymphoma and Other Cancers"
"20077","10","Lymphoma and Other Cancers"
"20078","10","Lymphoma and Other Cancers"
"20080","10","Lymphoma and Other Cancers"
"20081","10","Lymphoma and Other Cancers"
"20082","10","Lymphoma and Other Cancers"
"20083","10","Lymphoma and Other Cancers"
